tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,737,0.900000,1.000000,0.852792,1.000000,0.000000,0,0.000000,996.000000,1.000000,8699560.000000,17688.000000
1000,1,738,0.900000,1.000000,0.822991,1.000000,0.000000,0,0.000000,997.000000,1.000000,8699560.000000,17688.000000
1000,2,738,0.900000,1.000000,0.815285,1.000000,0.000000,0,0.000000,962.000000,1.000000,8699560.000000,17688.000000
1000,3,736,0.900000,1.000000,0.801025,1.000000,0.000000,0,0.000000,990.000000,1.000000,8699560.000000,17688.000000
1000,4,737,0.900000,1.000000,0.767394,1.000000,0.000000,0,0.000000,950.000000,1.000000,8699560.000000,17688.000000
1000,5,738,0.900000,1.000000,0.838275,1.000000,0.000000,0,0.000000,992.000000,1.000000,8699560.000000,17688.000000
1000,6,738,0.900000,1.000000,0.851911,1.000000,0.000000,0,0.000000,948.000000,1.000000,8699560.000000,17688.000000
1000,7,738,0.900000,1.000000,0.835596,1.000000,0.000000,1,911.000000,1000.000000,1.000000,8699560.000000,17688.000000
1000,8,738,0.900000,1.000000,0.848235,1.000000,0.000000,0,0.000000,999.000000,1.000000,8699560.000000,17688.000000
1000,9,737,0.900000,1.000000,0.795433,1.000000,0.000000,0,0.000000,980.000000,1.000000,8699560.000000,17688.000000
1000,10,738,0.900000,1.000000,0.829750,1.000000,0.000000,0,0.000000,979.000000,1.000000,8699560.000000,17688.000000
1000,11,738,0.900000,1.000000,0.877610,1.000000,0.000000,0,0.000000,972.000000,1.000000,8699560.000000,17688.000000
1000,12,736,0.900000,1.000000,0.839991,1.000000,0.000000,0,0.000000,915.000000,1.000000,8699560.000000,17688.000000
1000,13,738,0.900000,1.000000,0.820867,1.000000,0.000000,0,0.000000,995.000000,1.000000,8699560.000000,17688.000000
1000,14,736,0.900000,1.000000,0.803604,1.000000,0.000000,0,0.000000,988.000000,1.000000,8699560.000000,17688.000000
1000,15,737,0.900000,1.000000,0.777028,1.000000,0.000000,0,0.000000,994.000000,1.000000,8699560.000000,17688.000000
2000,0,1476,0.900000,1.000000,0.939359,1.000000,0.000000,0,0.000000,1998.000000,1.000000,34874940.000000,41318.000000
2000,1,1477,0.900000,1.000000,0.868329,1.000000,0.000000,0,0.000000,1987.000000,1.000000,34874940.000000,41318.000000
