tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.100000,1.000000,0.100000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,100,0.100000,1.000000,0.567161,1.000000,0.000000,0,0.000000,998.000000,1.000000,149099.000000,-18.000000
1000,1,99,0.100000,1.000000,0.677454,1.000000,0.000000,0,0.000000,982.000000,1.000000,149099.000000,-18.000000
1000,2,99,0.100000,1.000000,0.645302,1.000000,0.000000,0,0.000000,997.000000,1.000000,149099.000000,-18.000000
1000,3,99,0.100000,1.000000,0.635520,1.000000,0.000000,0,0.000000,984.000000,1.000000,149099.000000,-18.000000
1000,4,95,0.100000,1.000000,0.520784,1.000000,0.000000,0,0.000000,892.000000,1.000000,149099.000000,-18.000000
1000,5,86,0.100000,1.000000,0.414825,1.000000,0.000000,0,0.000000,588.000000,1.000000,149099.000000,-18.000000
1000,6,99,0.100000,1.000000,0.717842,1.000000,0.000000,0,0.000000,975.000000,1.000000,149099.000000,-18.000000
1000,7,100,0.100000,1.000000,0.459170,1.000000,0.000000,0,0.000000,989.000000,1.000000,149099.000000,-18.000000
1000,8,98,0.100000,1.000000,0.549378,1.000000,0.000000,0,0.000000,968.000000,1.000000,149099.000000,-18.000000
1000,9,97,0.100000,1.000000,0.423994,1.000000,0.000000,0,0.000000,937.000000,1.000000,149099.000000,-18.000000
1000,10,100,0.100000,1.000000,0.594757,1.000000,0.000000,1,565.000000,1000.000000,1.000000,149099.000000,-18.000000
1000,11,98,0.100000,1.000000,0.467061,1.000000,0.000000,0,0.000000,663.000000,1.000000,149099.000000,-18.000000
1000,12,88,0.100000,1.000000,0.590248,1.000000,0.000000,0,0.000000,899.000000,1.000000,149099.000000,-18.000000
1000,13,93,0.100000,1.000000,0.498103,1.000000,0.000000,0,0.000000,915.000000,1.000000,149099.000000,-18.000000
1000,14,100,0.100000,1.000000,0.558590,1.000000,0.000000,0,0.000000,994.000000,1.000000,149099.000000,-18.000000
1000,15,92,0.100000,1.000000,0.582882,1.000000,0.000000,0,0.000000,853.000000,1.000000,149099.000000,-18.000000
2000,0,199,0.100000,1.000000,0.482603,1.000000,0.000000,0,0.000000,1844.000000,1.000000,661645.000000,-12.000000
2000,1,206,0.100000,1.000000,0.491502,1.000000,0.000000,0,0.000000,1993.000000,1.000000,661645.000000,-12.000000
2000,2,206,0.100000,1.000000,0.601404,1.000000,0.000000,0,0.000000,1996.000000,1.000000,661645.000000,-12.000000
2000,3,206,0.100000,1.000000,0.591235,1.000000,0.000000,0,0.000000,1995.000000,1.000000,661645.000000,-12.000000
2000,4,204,0.100000,1.000000,0.444257,1.000000,0.000000,0,0.000000,1354.000000,1.000000,661645.000000,-12.000000
2000,5,200,0.100000,1.000000,0.491077,1.000000,0.000000,0,0.000000,1887.000000,1.000000,661645.000000,-12.000000
2000,6,208,0.100000,1.000000,0.688965,1.000000,0.000000,1,1328.000000,2000.000000,1.000000,661645.000000,-12.000000
2000,7,199,0.100000,1.000000,0.579283,1.000000,0.000000,0,0.000000,1828.000000,1.000000,661645.000000,-12.000000
2000,8,191,0.100000,1.000000,0.464985,1.000000,0.000000,0,0.000000,1833.000000,1.000000,661645.000000,-12.000000
2000,9,204,0.100000,1.000000,0.526176,1.000000,0.000000,0,0.000000,1880.000000,1.000000,661645.000000,-12.000000
2000,10,203,0.100000,1.000000,0.491796,1.000000,0.000000,0,0.000000,1957.000000,1.000000,661645.000000,-12.000000
2000,11,206,0.100000,1.000000,0.614148,1.000000,0.000000,0,0.000000,1990.000000,1.000000,661645.000000,-12.000000
2000,12,205,0.100000,1.000000,0.544796,1.000000,0.000000,0,0.000000,1951.000000,1.000000,661645.000000,-12.000000
2000,13,206,0.100000,1.000000,0.507166,1.000000,0.000000,0,0.000000,1986.000000,1.000000,661645.000000,-12.000000
2000,14,206,0.100000,1.000000,0.531850,1.000000,0.000000,0,0.000000,1992.000000,1.000000,661645.000000,-12.000000
2000,15,204,0.100000,1.000000,0.669579,1.000000,0.000000,0,0.000000,1982.000000,1.000000,661645.000000,-12.000000
3000,0,295,0.100000,1.000000,0.556776,1.000000,0.000000,0,0.000000,2919.000000,1.000000,1440102.000000,-8.000000
3000,1,300,0.100000,1.000000,0.400660,1.000000,0.000000,0,0.000000,2926.000000,1.000000,1440102.000000,-8.000000
3000,2,301,0.100000,1.000000,0.484416,1.000000,0.000000,0,0.000000,2990.000000,1.000000,1440102.000000,-8.000000
3000,3,299,0.100000,1.000000,0.469226,1.000000,0.000000,0,0.000000,2826.000000,1.000000,1440102.000000,-8.000000
3000,4,299,0.100000,1.000000,0.434910,1.000000,0.000000,0,0.000000,2834.000000,1.000000,1440102.000000,-8.000000
3000,5,301,0.100000,1.000000,0.526398,1.000000,0.000000,0,0.000000,2977.000000,1.000000,1440102.000000,-8.000000
3000,6,293,0.100000,1.000000,0.361459,1.000000,0.000000,0,0.000000,2204.000000,1.000000,1440102.000000,-8.000000
3000,7,302,0.100000,1.000000,0.559997,1.000000,0.000000,0,0.000000,2973.000000,1.000000,1440102.000000,-8.000000
3000,8,299,0.100000,1.000000,0.375197,1.000000,0.000000,0,0.000000,2921.000000,1.000000,1440102.000000,-8.000000
3000,9,302,0.100000,1.000000,0.525519,1.000000,0.000000,0,0.000000,2991.000000,1.000000,1440102.000000,-8.000000
3000,10,302,0.100000,1.000000,0.642433,1.000000,0.000000,0,0.000000,2999.000000,1.000000,1440102.000000,-8.000000
3000,11,302,0.100000,1.000000,0.396522,1.000000,0.000000,1,1606.000000,3000.000000,1.000000,1440102.000000,-8.000000
3000,12,302,0.100000,1.000000,0.632667,1.000000,0.000000,0,0.000000,2994.000000,1.000000,1440102.000000,-8.000000
3000,13,301,0.100000,1.000000,0.475584,1.000000,0.000000,0,0.000000,2771.000000,1.000000,1440102.000000,-8.000000
3000,14,301,0.100000,1.000000,0.356870,1.000000,0.000000,0,0.000000,2759.000000,1.000000,1440102.000000,-8.000000
3000,15,301,0.100000,1.000000,0.444159,1.000000,0.000000,0,0.000000,2992.000000,1.000000,1440102.000000,-8.000000
4000,0,411,0.100000,1.000000,0.662756,1.000000,0.000000,0,0.000000,3991.000000,1.000000,2670110.000000,799.000000
4000,1,411,0.100000,1.000000,0.504780,1.000000,0.000000,0,0.000000,3997.000000,1.000000,2670110.000000,799.000000
4000,2,411,0.100000,1.000000,0.484692,1.000000,0.000000,0,0.000000,3998.000000,1.000000,2670110.000000,799.000000
4000,3,406,0.100000,1.000000,0.505207,1.000000,0.000000,0,0.000000,3884.000000,1.000000,2670110.000000,799.000000
4000,4,411,0.100000,1.000000,0.655555,1.000000,0.000000,0,0.000000,3993.000000,1.000000,2670110.000000,799.000000
4000,5,404,0.100000,1.000000,0.628491,1.000000,0.000000,0,0.000000,3800.000000,1.000000,2670110.000000,799.000000
4000,6,411,0.100000,1.000000,0.513863,1.000000,0.000000,0,0.000000,3996.000000,1.000000,2670110.000000,799.000000
4000,7,401,0.100000,1.000000,0.444442,1.000000,0.000000,0,0.000000,3550.000000,1.000000,2670110.000000,799.000000
4000,8,407,0.100000,1.000000,0.636165,1.000000,0.000000,0,0.000000,3727.000000,1.000000,2670110.000000,799.000000
4000,9,406,0.100000,1.000000,0.569714,1.000000,0.000000,0,0.000000,3950.000000,1.000000,2670110.000000,799.000000
4000,10,411,0.100000,1.000000,0.609365,1.000000,0.000000,0,0.000000,3995.000000,1.000000,2670110.000000,799.000000
4000,11,410,0.100000,1.000000,0.703573,1.000000,0.000000,1,2356.000000,4000.000000,1.000000,2670110.000000,799.000000
4000,12,410,0.100000,1.000000,0.755150,1.000000,0.000000,0,0.000000,3999.000000,1.000000,2670110.000000,799.000000
4000,13,405,0.100000,1.000000,0.626393,1.000000,0.000000,0,0.000000,3841.000000,1.000000,2670110.000000,799.000000
4000,14,410,0.100000,1.000000,0.498927,1.000000,0.000000,0,0.000000,3937.000000,1.000000,2670110.000000,799.000000
4000,15,411,0.100000,1.000000,0.614913,1.000000,0.000000,0,0.000000,3992.000000,1.000000,2670110.000000,799.000000
5000,0,498,0.100000,1.000000,0.504559,1.000000,0.000000,0,0.000000,4902.000000,1.000000,3987913.000000,5029.000000
5000,1,503,0.100000,1.000000,0.433164,1.000000,0.000000,0,0.000000,4898.000000,1.000000,3987913.000000,5029.000000
5000,2,503,0.100000,1.000000,0.610276,1.000000,0.000000,0,0.000000,4973.000000,1.000000,3987913.000000,5029.000000
5000,3,500,0.100000,1.000000,0.619303,1.000000,0.000000,0,0.000000,4962.000000,1.000000,3987913.000000,5029.000000
5000,4,499,0.100000,1.000000,0.662702,1.000000,0.000000,0,0.000000,4928.000000,1.000000,3987913.000000,5029.000000
5000,5,505,0.100000,1.000000,0.576051,1.000000,0.000000,0,0.000000,4920.000000,1.000000,3987913.000000,5029.000000
5000,6,507,0.100000,1.000000,0.644335,1.000000,0.000000,1,3349.000000,5000.000000,1.000000,3987913.000000,5029.000000
5000,7,499,0.100000,1.000000,0.357919,1.000000,0.000000,0,0.000000,4815.000000,1.000000,3987913.000000,5029.000000
5000,8,477,0.100000,1.000000,0.529904,1.000000,0.000000,0,0.000000,4613.000000,1.000000,3987913.000000,5029.000000
5000,9,506,0.100000,1.000000,0.627610,1.000000,0.000000,0,0.000000,4998.000000,1.000000,3987913.000000,5029.000000
5000,10,504,0.100000,1.000000,0.627770,1.000000,0.000000,0,0.000000,4972.000000,1.000000,3987913.000000,5029.000000
5000,11,502,0.100000,1.000000,0.359870,1.000000,0.000000,0,0.000000,4961.000000,1.000000,3987913.000000,5029.000000
5000,12,491,0.100000,1.000000,0.332753,1.000000,0.000000,0,0.000000,4528.000000,1.000000,3987913.000000,5029.000000
5000,13,494,0.100000,1.000000,0.525825,1.000000,0.000000,0,0.000000,4921.000000,1.000000,3987913.000000,5029.000000
