tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,204,0.700000,1.000000,0.606111,1.000000,0.000000,0,0.000000,163.000000,0.999000,1250657.000000,4115.000000
1000,1,297,0.700000,1.000000,0.652501,1.000000,0.000000,0,0.000000,984.000000,0.999000,1250657.000000,4115.000000
1000,2,297,0.700000,1.000000,0.703166,1.000000,0.000000,0,0.000000,999.000000,0.999000,1250657.000000,4115.000000
1000,3,288,0.700000,1.000000,0.671313,1.000000,0.000000,0,0.000000,935.000000,0.999000,1250657.000000,4115.000000
1000,4,297,0.700000,1.000000,0.686743,1.000000,0.000000,1,792.000000,1000.000000,0.999000,1250657.000000,4115.000000
1000,5,296,0.700000,1.000000,0.630957,1.000000,0.000000,0,0.000000,997.000000,0.999000,1250657.000000,4115.000000
1000,6,298,0.700000,1.000000,0.679151,1.000000,0.000000,0,0.000000,992.000000,0.999000,1250657.000000,4115.000000
1000,7,289,0.700000,1.000000,0.647752,1.000000,0.000000,0,0.000000,978.000000,0.999000,1250657.000000,4115.000000
1000,8,294,0.700000,1.000000,0.634114,1.000000,0.000000,0,0.000000,990.000000,0.999000,1250657.000000,4115.000000
1000,9,296,0.700000,1.000000,0.566610,1.000000,0.000000,0,0.000000,964.000000,0.999000,1250657.000000,4115.000000
1000,10,292,0.700000,1.000000,0.627039,1.000000,0.000000,0,0.000000,886.000000,0.999000,1250657.000000,4115.000000
1000,11,267,0.700000,1.000000,0.547934,1.000000,0.000000,0,0.000000,431.000000,0.999000,1250657.000000,4115.000000
1000,12,173,0.700000,1.000000,0.732157,1.000000,0.000000,0,0.000000,548.000000,0.999000,1250657.000000,4115.000000
1000,13,295,0.700000,1.000000,0.704761,1.000000,0.000000,0,0.000000,996.000000,0.999000,1250657.000000,4115.000000
1000,14,261,0.700000,1.000000,0.491901,1.000000,0.000000,0,0.000000,820.000000,0.999000,1250657.000000,4115.000000
1000,15,293,0.700000,1.000000,0.664007,1.000000,0.000000,0,0.000000,988.000000,0.999000,1250657.000000,4115.000000
2000,0,393,0.700000,1.000000,0.482027,1.000000,0.000000,0,0.000000,163.000000,1.000000,4756618.000000,2338.000000
2000,1,572,0.700000,1.000000,0.660442,1.000000,0.000000,0,0.000000,1929.000000,1.000000,4756618.000000,2338.000000
2000,2,589,0.700000,1.000000,0.626032,1.000000,0.000000,1,1505.000000,2000.000000,1.000000,4756618.000000,2338.000000
2000,3,584,0.700000,1.000000,0.705372,1.000000,0.000000,0,0.000000,1981.000000,1.000000,4756618.000000,2338.000000
2000,4,590,0.700000,1.000000,0.534295,1.000000,0.000000,0,0.000000,1999.000000,1.000000,4756618.000000,2338.000000
2000,5,534,0.700000,1.000000,0.668397,1.000000,0.000000,0,0.000000,1551.000000,1.000000,4756618.000000,2338.000000
2000,6,584,0.700000,1.000000,0.516805,1.000000,0.000000,0,0.000000,1919.000000,1.000000,4756618.000000,2338.000000
