tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,196,0.900000,1.000000,0.567161,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,1,146,0.900000,1.000000,0.677456,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,2,155,0.900000,1.000000,0.645304,1.000000,0.000000,0,0.000000,157.000000,1.000000,234331.000000,192.000000
1000,3,0,0.900000,1.000000,0.635520,1.000000,0.000000,0,0.000000,979.000000,1.000000,234331.000000,192.000000
1000,4,0,0.900000,1.000000,0.520790,1.000000,0.000000,0,0.000000,984.000000,1.000000,234331.000000,192.000000
1000,5,0,0.900000,1.000000,0.414837,1.000000,0.000000,0,0.000000,996.000000,1.000000,234331.000000,192.000000
1000,6,187,0.900000,1.000000,0.717842,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,7,0,0.900000,1.000000,0.459171,1.000000,0.000000,0,0.000000,992.000000,1.000000,234331.000000,192.000000
1000,8,17,0.900000,1.000000,0.549381,1.000000,0.000000,1,80.000000,1000.000000,1.000000,234331.000000,192.000000
1000,9,33,0.900000,1.000000,0.424007,1.000000,0.000000,0,0.000000,827.000000,1.000000,234331.000000,192.000000
1000,10,105,0.900000,1.000000,0.594758,1.000000,0.000000,0,0.000000,582.000000,1.000000,234331.000000,192.000000
1000,11,112,0.900000,1.000000,0.467101,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,12,154,0.900000,1.000000,0.590252,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,13,135,0.900000,1.000000,0.498120,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,14,189,0.900000,1.000000,0.558590,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
1000,15,114,0.900000,1.000000,0.582918,1.000000,0.000000,0,0.000000,-1.000000,1.000000,234331.000000,192.000000
2000,0,345,0.900000,1.000000,0.482603,1.000000,0.000000,0,0.000000,-1.000000,1.000000,1036181.000000,488.000000
2000,1,348,0.900000,1.000000,0.491502,1.000000,0.000000,0,0.000000,-1.000000,1.000000,1036181.000000,488.000000
