tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.200000,1.000000,0.200000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,304,0.200000,1.000000,0.663721,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,1,0,0.200000,1.000000,0.651775,1.000000,0.000000,0,0.000000,999.000000,0.999000,1395888.000000,3226.000000
1000,2,295,0.200000,1.000000,0.643512,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,3,2,0.200000,1.000000,0.693129,1.000000,0.000000,1,7.000000,1000.000000,0.999000,1395888.000000,3226.000000
1000,4,93,0.200000,1.000000,0.702918,1.000000,0.000000,0,0.000000,942.000000,0.999000,1395888.000000,3226.000000
1000,5,34,0.200000,1.000000,0.667913,1.000000,0.000000,0,0.000000,267.000000,0.999000,1395888.000000,3226.000000
1000,6,250,0.200000,1.000000,0.632478,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,7,399,0.200000,1.000000,0.668194,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,8,355,0.200000,1.000000,0.617889,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,9,408,0.200000,1.000000,0.689499,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,10,299,0.200000,1.000000,0.614238,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,11,353,0.200000,1.000000,0.577667,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,12,376,0.200000,1.000000,0.730598,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,13,391,0.200000,1.000000,0.621193,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,14,409,0.200000,1.000000,0.674754,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
1000,15,130,0.200000,1.000000,0.637819,1.000000,0.000000,0,0.000000,-1.000000,0.999000,1395888.000000,3226.000000
2000,0,629,0.200000,1.000000,0.629671,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,1,0,0.200000,1.000000,0.647955,1.000000,0.000000,0,0.000000,1999.000000,1.000000,5492504.000000,5600.000000
2000,2,683,0.200000,1.000000,0.678671,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,3,4,0.200000,1.000000,0.755546,1.000000,0.000000,1,6.000000,2000.000000,1.000000,5492504.000000,5600.000000
2000,4,90,0.200000,1.000000,0.552939,1.000000,0.000000,0,0.000000,1981.000000,1.000000,5492504.000000,5600.000000
2000,5,238,0.200000,1.000000,0.569511,1.000000,0.000000,0,0.000000,267.000000,1.000000,5492504.000000,5600.000000
2000,6,601,0.200000,1.000000,0.643486,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,7,673,0.200000,1.000000,0.676366,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,8,719,0.200000,1.000000,0.732740,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,9,798,0.200000,1.000000,0.629849,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,10,659,0.200000,1.000000,0.725296,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
2000,11,609,0.200000,1.000000,0.445462,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5492504.000000,5600.000000
