tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.700000,1.000000,0.700000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,1,0.700000,1.000000,0.703678,1.000000,0.000000,1,0.000000,1000.000000,1.000000,6977629.000000,19488.000000
1000,1,703,0.700000,1.000000,0.695821,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,2,327,0.700000,1.000000,0.721559,1.000000,0.000000,0,0.000000,999.000000,1.000000,6977629.000000,19488.000000
1000,3,697,0.700000,1.000000,0.611535,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,4,684,0.700000,1.000000,0.785913,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,5,721,0.700000,1.000000,0.786089,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,6,714,0.700000,1.000000,0.700946,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,7,733,0.700000,1.000000,0.696227,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,8,716,0.700000,1.000000,0.744500,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,9,694,0.700000,1.000000,0.593198,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,10,702,0.700000,1.000000,0.492354,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,11,702,0.700000,1.000000,0.616350,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,12,679,0.700000,1.000000,0.692426,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,13,675,0.700000,1.000000,0.742640,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,14,703,0.700000,1.000000,0.702265,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
1000,15,682,0.700000,1.000000,0.721979,1.000000,0.000000,0,0.000000,-1.000000,1.000000,6977629.000000,19488.000000
2000,0,1,0.700000,1.000000,0.691294,1.000000,0.000000,1,2.000000,2000.000000,1.000000,27770052.000000,19456.000000
2000,1,1428,0.700000,1.000000,0.847507,1.000000,0.000000,0,0.000000,-1.000000,1.000000,27770052.000000,19456.000000
2000,2,750,0.700000,1.000000,0.706433,1.000000,0.000000,0,0.000000,1995.000000,1.000000,27770052.000000,19456.000000
2000,3,1423,0.700000,1.000000,0.657305,1.000000,0.000000,0,0.000000,-1.000000,1.000000,27770052.000000,19456.000000
2000,4,1398,0.700000,1.000000,0.676417,1.000000,0.000000,0,0.000000,-1.000000,1.000000,27770052.000000,19456.000000
2000,5,1379,0.700000,1.000000,0.684494,1.000000,0.000000,0,0.000000,-1.000000,1.000000,27770052.000000,19456.000000
2000,6,1391,0.700000,1.000000,0.590206,1.000000,0.000000,0,0.000000,-1.000000,1.000000,27770052.000000,19456.000000
