tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.900000,1.000000,0.900000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,255,0.900000,1.000000,0.663721,1.000000,0.000000,0,0.000000,756.000000,0.999000,1140592.000000,1886.000000
1000,1,302,0.900000,1.000000,0.651775,1.000000,0.000000,0,0.000000,994.000000,0.999000,1140592.000000,1886.000000
1000,2,235,0.900000,1.000000,0.643512,1.000000,0.000000,0,0.000000,411.000000,0.999000,1140592.000000,1886.000000
1000,3,302,0.900000,1.000000,0.693129,1.000000,0.000000,0,0.000000,996.000000,0.999000,1140592.000000,1886.000000
1000,4,298,0.900000,1.000000,0.702918,1.000000,0.000000,0,0.000000,972.000000,0.999000,1140592.000000,1886.000000
1000,5,47,0.900000,1.000000,0.671160,1.000000,0.000000,0,0.000000,79.000000,0.999000,1140592.000000,1886.000000
1000,6,190,0.900000,1.000000,0.632478,1.000000,0.000000,0,0.000000,600.000000,0.999000,1140592.000000,1886.000000
1000,7,297,0.900000,1.000000,0.668194,1.000000,0.000000,0,0.000000,978.000000,0.999000,1140592.000000,1886.000000
1000,8,292,0.900000,1.000000,0.617889,1.000000,0.000000,0,0.000000,956.000000,0.999000,1140592.000000,1886.000000
1000,9,302,0.900000,1.000000,0.689499,1.000000,0.000000,0,0.000000,991.000000,0.999000,1140592.000000,1886.000000
1000,10,264,0.900000,1.000000,0.614238,1.000000,0.000000,0,0.000000,582.000000,0.999000,1140592.000000,1886.000000
1000,11,302,0.900000,1.000000,0.577667,1.000000,0.000000,0,0.000000,990.000000,0.999000,1140592.000000,1886.000000
1000,12,303,0.900000,1.000000,0.730598,1.000000,0.000000,0,0.000000,999.000000,0.999000,1140592.000000,1886.000000
1000,13,301,0.900000,1.000000,0.621193,1.000000,0.000000,0,0.000000,988.000000,0.999000,1140592.000000,1886.000000
1000,14,303,0.900000,1.000000,0.674754,1.000000,0.000000,1,688.000000,1000.000000,0.999000,1140592.000000,1886.000000
1000,15,105,0.900000,1.000000,0.637819,1.000000,0.000000,0,0.000000,309.000000,0.999000,1140592.000000,1886.000000
2000,0,542,0.900000,1.000000,0.629671,1.000000,0.000000,0,0.000000,1786.000000,1.000000,4437128.000000,4420.000000
2000,1,531,0.900000,1.000000,0.647955,1.000000,0.000000,0,0.000000,1126.000000,1.000000,4437128.000000,4420.000000
