tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,158,0.600000,1.000000,0.606111,1.000000,0.000000,0,0.000000,989.000000,0.999000,1288575.000000,4457.000000
1000,1,328,0.600000,1.000000,0.652501,1.000000,0.000000,0,0.000000,990.000000,0.999000,1288575.000000,4457.000000
1000,2,320,0.600000,1.000000,0.703166,1.000000,0.000000,0,0.000000,991.000000,0.999000,1288575.000000,4457.000000
1000,3,249,0.600000,1.000000,0.671313,1.000000,0.000000,0,0.000000,992.000000,0.999000,1288575.000000,4457.000000
1000,4,310,0.600000,1.000000,0.686743,1.000000,0.000000,0,0.000000,993.000000,0.999000,1288575.000000,4457.000000
1000,5,299,0.600000,1.000000,0.630957,1.000000,0.000000,0,0.000000,994.000000,0.999000,1288575.000000,4457.000000
1000,6,380,0.600000,1.000000,0.679151,1.000000,0.000000,0,0.000000,995.000000,0.999000,1288575.000000,4457.000000
1000,7,321,0.600000,1.000000,0.647752,1.000000,0.000000,0,0.000000,996.000000,0.999000,1288575.000000,4457.000000
1000,8,285,0.600000,1.000000,0.634114,1.000000,0.000000,0,0.000000,997.000000,0.999000,1288575.000000,4457.000000
1000,9,266,0.600000,1.000000,0.566610,1.000000,0.000000,0,0.000000,998.000000,0.999000,1288575.000000,4457.000000
1000,10,299,0.600000,1.000000,0.627039,1.000000,0.000000,0,0.000000,999.000000,0.999000,1288575.000000,4457.000000
1000,11,240,0.600000,1.000000,0.547934,1.000000,0.000000,1,857.000000,1000.000000,0.999000,1288575.000000,4457.000000
1000,12,134,0.600000,1.000000,0.732157,1.000000,0.000000,0,0.000000,985.000000,0.999000,1288575.000000,4457.000000
1000,13,311,0.600000,1.000000,0.704761,1.000000,0.000000,0,0.000000,986.000000,0.999000,1288575.000000,4457.000000
1000,14,248,0.600000,1.000000,0.491901,1.000000,0.000000,0,0.000000,987.000000,0.999000,1288575.000000,4457.000000
1000,15,289,0.600000,1.000000,0.664007,1.000000,0.000000,0,0.000000,988.000000,0.999000,1288575.000000,4457.000000
2000,0,284,0.600000,1.000000,0.482027,1.000000,0.000000,0,0.000000,1997.000000,1.000000,4920314.000000,2484.000000
2000,1,633,0.600000,1.000000,0.660442,1.000000,0.000000,0,0.000000,1998.000000,1.000000,4920314.000000,2484.000000
2000,2,652,0.600000,1.000000,0.626032,1.000000,0.000000,0,0.000000,1999.000000,1.000000,4920314.000000,2484.000000
2000,3,568,0.600000,1.000000,0.705372,1.000000,0.000000,1,1579.000000,2000.000000,1.000000,4920314.000000,2484.000000
2000,4,615,0.600000,1.000000,0.534295,1.000000,0.000000,0,0.000000,1985.000000,1.000000,4920314.000000,2484.000000
2000,5,505,0.600000,1.000000,0.668397,1.000000,0.000000,0,0.000000,1986.000000,1.000000,4920314.000000,2484.000000
2000,6,643,0.600000,1.000000,0.516805,1.000000,0.000000,0,0.000000,1987.000000,1.000000,4920314.000000,2484.000000
2000,7,499,0.600000,1.000000,0.665526,1.000000,0.000000,0,0.000000,1988.000000,1.000000,4920314.000000,2484.000000
2000,8,597,0.600000,1.000000,0.715336,1.000000,0.000000,0,0.000000,1989.000000,1.000000,4920314.000000,2484.000000
2000,9,593,0.600000,1.000000,0.646052,1.000000,0.000000,0,0.000000,1990.000000,1.000000,4920314.000000,2484.000000
2000,10,612,0.600000,1.000000,0.696914,1.000000,0.000000,0,0.000000,1991.000000,1.000000,4920314.000000,2484.000000
2000,11,545,0.600000,1.000000,0.584672,1.000000,0.000000,0,0.000000,1992.000000,1.000000,4920314.000000,2484.000000
2000,12,71,0.600000,1.000000,0.732157,1.000000,0.000000,0,0.000000,1993.000000,1.000000,4920314.000000,2484.000000
2000,13,534,0.600000,1.000000,0.712013,1.000000,0.000000,0,0.000000,1994.000000,1.000000,4920314.000000,2484.000000
2000,14,569,0.600000,1.000000,0.684676,1.000000,0.000000,0,0.000000,1995.000000,1.000000,4920314.000000,2484.000000
2000,15,634,0.600000,1.000000,0.583166,1.000000,0.000000,0,0.000000,1996.000000,1.000000,4920314.000000,2484.000000
3000,0,382,0.600000,1.000000,0.644867,1.000000,0.000000,0,0.000000,2989.000000,1.000000,10348599.000000,5950.000000
3000,1,904,0.600000,1.000000,0.464731,1.000000,0.000000,0,0.000000,2990.000000,1.000000,10348599.000000,5950.000000
3000,2,897,0.600000,1.000000,0.729714,1.000000,0.000000,0,0.000000,2991.000000,1.000000,10348599.000000,5950.000000
3000,3,914,0.600000,1.000000,0.593049,1.000000,0.000000,0,0.000000,2992.000000,1.000000,10348599.000000,5950.000000
3000,4,863,0.600000,1.000000,0.704211,1.000000,0.000000,0,0.000000,2993.000000,1.000000,10348599.000000,5950.000000
3000,5,825,0.600000,1.000000,0.593546,1.000000,0.000000,0,0.000000,2994.000000,1.000000,10348599.000000,5950.000000
3000,6,894,0.600000,1.000000,0.640586,1.000000,0.000000,0,0.000000,2995.000000,1.000000,10348599.000000,5950.000000
3000,7,794,0.600000,1.000000,0.729590,1.000000,0.000000,0,0.000000,2996.000000,1.000000,10348599.000000,5950.000000
3000,8,885,0.600000,1.000000,0.669210,1.000000,0.000000,0,0.000000,2997.000000,1.000000,10348599.000000,5950.000000
3000,9,886,0.600000,1.000000,0.598386,1.000000,0.000000,0,0.000000,2998.000000,1.000000,10348599.000000,5950.000000
3000,10,637,0.600000,1.000000,0.774069,1.000000,0.000000,0,0.000000,2999.000000,1.000000,10348599.000000,5950.000000
3000,11,845,0.600000,1.000000,0.677333,1.000000,0.000000,1,2306.000000,3000.000000,1.000000,10348599.000000,5950.000000
