tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.300000,1.000000,0.300000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
100,0,23,0.300000,1.000000,0.513760,1.000000,0.000000,0,0.000000,98.000000,0.100000,3837.000000,-4.000000
100,1,23,0.300000,1.000000,0.717879,1.000000,0.000000,1,36.000000,100.000000,0.100000,3837.000000,-4.000000
100,2,20,0.300000,1.000000,0.634956,1.000000,0.000000,0,0.000000,92.000000,0.100000,3837.000000,-4.000000
100,3,22,0.300000,1.000000,0.503007,1.000000,0.000000,0,0.000000,59.000000,0.100000,3837.000000,-4.000000
100,4,21,0.300000,1.000000,0.408720,1.000000,0.000000,0,0.000000,62.000000,0.100000,3837.000000,-4.000000
100,5,22,0.300000,1.000000,0.467865,1.000000,0.000000,0,0.000000,75.000000,0.100000,3837.000000,-4.000000
100,6,21,0.300000,1.000000,0.492523,1.000000,0.000000,0,0.000000,72.000000,0.100000,3837.000000,-4.000000
100,7,23,0.300000,1.000000,0.430419,1.000000,0.000000,0,0.000000,67.000000,0.100000,3837.000000,-4.000000
200,0,37,0.300000,1.000000,0.401434,1.000000,0.000000,0,0.000000,196.000000,0.200000,11787.000000,156.000000
200,1,38,0.300000,1.000000,0.535041,1.000000,0.000000,0,0.000000,194.000000,0.200000,11787.000000,156.000000
200,2,38,0.300000,1.000000,0.472052,1.000000,0.000000,0,0.000000,197.000000,0.200000,11787.000000,156.000000
