tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.800000,1.000000,0.800000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
100,0,73,0.800000,1.000000,0.862467,1.000000,0.000000,0,0.000000,93.000000,0.100000,43743.000000,811.000000
100,1,56,0.800000,1.000000,0.691835,1.000000,0.000000,0,0.000000,94.000000,0.100000,43743.000000,811.000000
100,2,67,0.800000,1.000000,0.777325,1.000000,0.000000,0,0.000000,95.000000,0.100000,43743.000000,811.000000
100,3,82,0.800000,1.000000,0.821196,1.000000,0.000000,0,0.000000,96.000000,0.100000,43743.000000,811.000000
100,4,74,0.800000,1.000000,0.743596,1.000000,0.000000,0,0.000000,97.000000,0.100000,43743.000000,811.000000
100,5,88,0.800000,1.000000,0.880358,1.000000,0.000000,0,0.000000,98.000000,0.100000,43743.000000,811.000000
100,6,69,0.800000,1.000000,0.750146,1.000000,0.000000,0,0.000000,99.000000,0.100000,43743.000000,811.000000
100,7,78,0.800000,1.000000,0.851226,1.000000,0.000000,1,87.000000,100.000000,0.100000,43743.000000,811.000000
200,0,136,0.800000,1.000000,0.861670,1.000000,0.000000,0,0.000000,197.000000,0.200000,154932.000000,889.000000
200,1,121,0.800000,1.000000,0.792542,1.000000,0.000000,0,0.000000,198.000000,0.200000,154932.000000,889.000000
200,2,149,0.800000,1.000000,0.842302,1.000000,0.000000,0,0.000000,199.000000,0.200000,154932.000000,889.000000
200,3,137,0.800000,1.000000,0.738915,1.000000,0.000000,1,172.000000,200.000000,0.200000,154932.000000,889.000000
200,4,135,0.800000,1.000000,0.710510,1.000000,0.000000,0,0.000000,193.000000,0.200000,154932.000000,889.000000
200,5,160,0.800000,1.000000,0.701294,1.000000,0.000000,0,0.000000,194.000000,0.200000,154932.000000,889.000000
200,6,134,0.800000,1.000000,0.696710,1.000000,0.000000,0,0.000000,195.000000,0.200000,154932.000000,889.000000
200,7,138,0.800000,1.000000,0.537967,1.000000,0.000000,0,0.000000,196.000000,0.200000,154932.000000,889.000000
300,0,210,0.800000,1.000000,0.767019,1.000000,0.000000,0,0.000000,293.000000,0.300000,348020.000000,2636.000000
300,1,204,0.800000,1.000000,0.626847,1.000000,0.000000,0,0.000000,294.000000,0.300000,348020.000000,2636.000000
300,2,225,0.800000,1.000000,0.770242,1.000000,0.000000,0,0.000000,295.000000,0.300000,348020.000000,2636.000000
300,3,224,0.800000,1.000000,0.798143,1.000000,0.000000,0,0.000000,296.000000,0.300000,348020.000000,2636.000000
300,4,187,0.800000,1.000000,0.648667,1.000000,0.000000,0,0.000000,297.000000,0.300000,348020.000000,2636.000000
300,5,203,0.800000,1.000000,0.709315,1.000000,0.000000,0,0.000000,298.000000,0.300000,348020.000000,2636.000000
300,6,211,0.800000,1.000000,0.694732,1.000000,0.000000,0,0.000000,299.000000,0.300000,348020.000000,2636.000000
300,7,202,0.800000,1.000000,0.688333,1.000000,0.000000,1,263.000000,300.000000,0.300000,348020.000000,2636.000000
400,0,269,0.800000,1.000000,0.775918,1.000000,0.000000,0,0.000000,397.000000,0.400000,578177.000000,1611.000000
400,1,261,0.800000,1.000000,0.682591,1.000000,0.000000,0,0.000000,398.000000,0.400000,578177.000000,1611.000000
400,2,290,0.800000,1.000000,0.763427,1.000000,0.000000,0,0.000000,399.000000,0.400000,578177.000000,1611.000000
400,3,271,0.800000,1.000000,0.699937,1.000000,0.000000,1,351.000000,400.000000,0.400000,578177.000000,1611.000000
400,4,246,0.800000,1.000000,0.739247,1.000000,0.000000,0,0.000000,393.000000,0.400000,578177.000000,1611.000000
400,5,267,0.800000,1.000000,0.642059,1.000000,0.000000,0,0.000000,394.000000,0.400000,578177.000000,1611.000000
400,6,293,0.800000,1.000000,0.764593,1.000000,0.000000,0,0.000000,395.000000,0.400000,578177.000000,1611.000000
400,7,250,0.800000,1.000000,0.635380,1.000000,0.000000,0,0.000000,396.000000,0.400000,578177.000000,1611.000000
500,0,348,0.800000,1.000000,0.848656,1.000000,0.000000,0,0.000000,493.000000,0.500000,917917.000000,4062.000000
500,1,315,0.800000,1.000000,0.625637,1.000000,0.000000,0,0.000000,494.000000,0.500000,917917.000000,4062.000000
500,2,348,0.800000,1.000000,0.699038,1.000000,0.000000,0,0.000000,495.000000,0.500000,917917.000000,4062.000000
500,3,345,0.800000,1.000000,0.798351,1.000000,0.000000,0,0.000000,496.000000,0.500000,917917.000000,4062.000000
500,4,336,0.800000,1.000000,0.778993,1.000000,0.000000,0,0.000000,497.000000,0.500000,917917.000000,4062.000000
500,5,337,0.800000,1.000000,0.666763,1.000000,0.000000,0,0.000000,498.000000,0.500000,917917.000000,4062.000000
500,6,363,0.800000,1.000000,0.784955,1.000000,0.000000,0,0.000000,499.000000,0.500000,917917.000000,4062.000000
500,7,315,0.800000,1.000000,0.714616,1.000000,0.000000,1,431.000000,500.000000,0.500000,917917.000000,4062.000000
600,0,419,0.800000,1.000000,0.776282,1.000000,0.000000,0,0.000000,597.000000,0.600000,1321224.000000,1640.000000
600,1,379,0.800000,1.000000,0.732992,1.000000,0.000000,0,0.000000,598.000000,0.600000,1321224.000000,1640.000000
600,2,413,0.800000,1.000000,0.736652,1.000000,0.000000,0,0.000000,599.000000,0.600000,1321224.000000,1640.000000
