tick,trace_id,rpc_id,source_service,destination_service,container_id,latency,trace_flags,type,priority
5,0,101,1,2,100,50,0,1,1
15,1,101,1,2,100,50,0,1,1
17,2,101,1,2,100,50,0,1,1
24,3,101,1,2,100,50,0,1,1
26,4,101,1,2,100,50,0,1,1
30,5,101,1,2,100,50,0,1,1
32,6,101,1,2,100,50,0,1,1
37,7,101,1,2,100,50,0,1,1
45,8,101,1,2,100,50,0,1,1
52,9,101,1,2,100,50,0,1,1
57,10,101,1,2,100,50,0,1,1
58,11,101,1,2,100,50,0,1,1
65,12,101,1,2,100,50,0,1,1
67,13,101,1,2,100,50,0,1,1
73,14,101,1,2,100,50,0,1,1
83,15,101,1,2,100,50,0,1,1
89,16,101,1,2,100,50,0,1,1
94,17,101,1,2,100,50,0,1,1
100,18,101,1,2,100,50,0,1,1
108,19,101,1,2,100,50,0,1,1
116,20,101,1,2,100,50,0,1,1
119,21,101,1,2,100,50,0,1,1
129,22,101,1,2,100,50,0,1,1
137,23,101,1,2,100,50,0,1,1
141,24,101,1,2,100,50,0,1,1
142,25,101,1,2,100,50,0,1,1
148,26,101,1,2,100,50,0,1,1
150,27,101,1,2,100,50,0,1,1
151,28,101,1,2,100,50,0,1,1
156,29,101,1,2,100,50,0,1,1
158,30,101,1,2,100,50,0,1,1
168,31,101,1,2,100,50,0,1,1
175,32,101,1,2,100,50,0,1,1
183,33,101,1,2,100,50,0,1,1
188,34,101,1,2,100,50,0,1,1
189,35,101,1,2,100,50,0,1,1
199,36,101,1,2,100,50,0,1,1
202,37,101,1,2,100,50,0,1,1
206,38,101,1,2,100,50,0,1,1
215,39,101,1,2,100,50,0,1,1
220,40,101,1,2,100,50,0,1,1
226,41,101,1,2,100,50,0,1,1
230,42,101,1,2,100,50,0,1,1
231,43,101,1,2,100,50,0,1,1
232,44,101,1,2,100,50,0,1,1
241,45,101,1,2,100,50,0,1,1
247,46,101,1,2,100,50,0,1,1
248,47,101,1,2,100,50,0,1,1
255,48,101,1,2,100,50,0,1,1
262,49,101,1,2,100,50,0,1,1
270,50,101,1,2,100,50,0,1,1
278,51,101,1,2,100,50,0,1,1
285,52,101,1,2,100,50,0,1,1
289,53,101,1,2,100,50,0,1,1
291,54,101,1,2,100,50,0,1,1
292,55,101,1,2,100,50,0,1,1
301,56,101,1,2,100,50,0,1,1
309,57,101,1,2,100,50,0,1,1
310,58,101,1,2,100,50,0,1,1
320,59,101,1,2,100,50,0,1,1
328,60,101,1,2,100,50,0,1,1
330,61,101,1,2,100,50,0,1,1
340,62,101,1,2,100,50,0,1,1
344,63,101,1,2,100,50,0,1,1
346,64,101,1,2,100,50,0,1,1
351,65,101,1,2,100,50,0,1,1
354,66,101,1,2,100,50,0,1,1
360,67,101,1,2,100,50,0,1,1
364,68,101,1,2,100,50,0,1,1
374,69,101,1,2,100,50,0,1,1
375,70,101,1,2,100,50,0,1,1
384,71,101,1,2,100,50,0,1,1
387,72,101,1,2,100,50,0,1,1
389,73,101,1,2,100,50,0,1,1
397,74,101,1,2,100,50,0,1,1
